anime_id,imagePath,chapterNumber,animeLink
3118,https://cdn.animeflv.net/screenshots/3118/26/th_3.jpg,Episodio 26,https://www3.animeflv.net/ver/kimetsu-no-yaiba-26
3118,https://cdn.animeflv.net/screenshots/3118/25/th_3.jpg,Episodio 25,https://www3.animeflv.net/ver/kimetsu-no-yaiba-25
3118,https://cdn.animeflv.net/screenshots/3118/24/th_3.jpg,Episodio 24,https://www3.animeflv.net/ver/kimetsu-no-yaiba-24
3118,https://cdn.animeflv.net/screenshots/3118/23/th_3.jpg,Episodio 23,https://www3.animeflv.net/ver/kimetsu-no-yaiba-23
3118,https://cdn.animeflv.net/screenshots/3118/22/th_3.jpg,Episodio 22,https://www3.animeflv.net/ver/kimetsu-no-yaiba-22
3118,https://cdn.animeflv.net/screenshots/3118/21/th_3.jpg,Episodio 21,https://www3.animeflv.net/ver/kimetsu-no-yaiba-21
3118,https://cdn.animeflv.net/screenshots/3118/20/th_3.jpg,Episodio 20,https://www3.animeflv.net/ver/kimetsu-no-yaiba-20
3118,https://cdn.animeflv.net/screenshots/3118/19/th_3.jpg,Episodio 19,https://www3.animeflv.net/ver/kimetsu-no-yaiba-19
3118,https://cdn.animeflv.net/screenshots/3118/18/th_3.jpg,Episodio 18,https://www3.animeflv.net/ver/kimetsu-no-yaiba-18
3118,https://cdn.animeflv.net/screenshots/3118/17/th_3.jpg,Episodio 17,https://www3.animeflv.net/ver/kimetsu-no-yaiba-17
3118,https://cdn.animeflv.net/screenshots/3118/16/th_3.jpg,Episodio 16,https://www3.animeflv.net/ver/kimetsu-no-yaiba-16
3118,https://cdn.animeflv.net/screenshots/3118/15/th_3.jpg,Episodio 15,https://www3.animeflv.net/ver/kimetsu-no-yaiba-15
3118,https://cdn.animeflv.net/screenshots/3118/14/th_3.jpg,Episodio 14,https://www3.animeflv.net/ver/kimetsu-no-yaiba-14
3118,https://cdn.animeflv.net/screenshots/3118/13/th_3.jpg,Episodio 13,https://www3.animeflv.net/ver/kimetsu-no-yaiba-13
3118,https://cdn.animeflv.net/screenshots/3118/12/th_3.jpg,Episodio 12,https://www3.animeflv.net/ver/kimetsu-no-yaiba-12
3118,https://cdn.animeflv.net/screenshots/3118/11/th_3.jpg,Episodio 11,https://www3.animeflv.net/ver/kimetsu-no-yaiba-11
3118,https://cdn.animeflv.net/screenshots/3118/10/th_3.jpg,Episodio 10,https://www3.animeflv.net/ver/kimetsu-no-yaiba-10
3118,https://cdn.animeflv.net/screenshots/3118/9/th_3.jpg,Episodio 9,https://www3.animeflv.net/ver/kimetsu-no-yaiba-9
3118,https://cdn.animeflv.net/screenshots/3118/8/th_3.jpg,Episodio 8,https://www3.animeflv.net/ver/kimetsu-no-yaiba-8
3118,https://cdn.animeflv.net/screenshots/3118/7/th_3.jpg,Episodio 7,https://www3.animeflv.net/ver/kimetsu-no-yaiba-7
3118,https://cdn.animeflv.net/screenshots/3118/6/th_3.jpg,Episodio 6,https://www3.animeflv.net/ver/kimetsu-no-yaiba-6
3118,https://cdn.animeflv.net/screenshots/3118/5/th_3.jpg,Episodio 5,https://www3.animeflv.net/ver/kimetsu-no-yaiba-5
3118,https://cdn.animeflv.net/screenshots/3118/4/th_3.jpg,Episodio 4,https://www3.animeflv.net/ver/kimetsu-no-yaiba-4
3118,https://cdn.animeflv.net/screenshots/3118/3/th_3.jpg,Episodio 3,https://www3.animeflv.net/ver/kimetsu-no-yaiba-3
3118,https://cdn.animeflv.net/screenshots/3118/2/th_3.jpg,Episodio 2,https://www3.animeflv.net/ver/kimetsu-no-yaiba-2
3118,https://cdn.animeflv.net/screenshots/3118/1/th_3.jpg,Episodio 1,https://www3.animeflv.net/ver/kimetsu-no-yaiba-1
